LJ021-0001|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section 6.|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section six.
LJ028-0176|Should we compare these ancient descriptions of the walls, we should find them hopelessly conflicting.|Should we compare these ancient descriptions of the walls, we should find them hopelessly conflicting.
LJ028-0177|However, they teach us that in those early days when most cities were surrounded by enormous walls,|However, they teach us that in those early days when most cities were surrounded by enormous walls,
LJ028-0178|the walls of Babylon were so long and wide and high that all who saw them were amazed.|the walls of Babylon were so long and wide and high that all who saw them were amazed.
LJ028-0179|It is only from their ruins that we may hope to obtain accurate information of the strongest fortifications in the ancient world.|It is only from their ruins that we may hope to obtain accurate information of the strongest fortifications in the ancient world.
LJ028-0180|In the year 562, after a long reign of forty-three years, Nebuchadnezzar died.|In the year five sixty-two, after a long reign of forty-three years, Nebuchadnezzar died.
LJ028-0181|He was followed by three kings whose reigns were short,|He was followed by three kings whose reigns were short,
LJ028-0182|and in 555 Nabonidus, the father of the Biblical Belshazzar, came to the throne.|and in five fifty-five Nabonidus, the father of the Biblical Belshazzar, came to the throne.
LJ028-0183|Cyrus, the King of Persia, was rising to power, and after he had defeated the Medes|Cyrus, the King of Persia, was rising to power, and after he had defeated the Medes
LJ028-0184|he extended his empire to the Mediterranean and even to Egypt.|he extended his empire to the Mediterranean and even to Egypt.
LJ028-0185|Perhaps Babylon was so strongly fortified that at first he made no attempt to add it to his empire,|Perhaps Babylon was so strongly fortified that at first he made no attempt to add it to his empire,
LJ028-0186|but when Nabonidus joined with the King of Egypt and with the wealthy Croesus of Lydia in an alliance against him,|but when Nabonidus joined with the King of Egypt and with the wealthy Croesus of Lydia in an alliance against him,
LJ028-0187|Cyrus decided that Babylon must be taken.|Cyrus decided that Babylon must be taken.
LJ028-0188|In 538 the city fell, and for a time it became the home of the Persian King.|In five thirty-eight the city fell, and for a time it became the home of the Persian King.
LJ028-0190|A great empire which had existed for more than three thousand years was brought to an end.|A great empire which had existed for more than three thousand years was brought to an end.
LJ028-0191|The old enemies of Babylon rejoiced.|The old enemies of Babylon rejoiced.
LJ028-0192|When the news came to the Hebrews, who were held there in exile, they excitedly rushed about the streets, crying: "Babylon is fallen,"|When the news came to the Hebrews, who were held there in exile, they excitedly rushed about the streets, crying: "Babylon is fallen,"
LJ028-0193|and to them came hope of returning to Jerusalem.|and to them came hope of returning to Jerusalem.
LJ028-0194|But how did the "mighty city" fall? How could Cyrus take Babylon whose walls were strong enough to resist any army?|But how did the "mighty city" fall? How could Cyrus take Babylon whose walls were strong enough to resist any army?
LJ028-0195|It is a long story. Poets have sung it. Historians have written it. Prophets have preached it. Legends have gathered about it.|It is a long story. Poets have sung it. Historians have written it. Prophets have preached it. Legends have gathered about it.
LJ028-0196|Every child knows the story of "the writing of the hand on the wall." It was the night that Babylon fell.|Every child knows the story of "the writing of the hand on the wall." It was the night that Babylon fell.
LJ028-0197|Belshazzar, the King, he was really the King's son, gave a feast to a thousand of his nobles.|Belshazzar, the King, he was really the King's son, gave a feast to a thousand of his nobles.
LJ028-0198|In the great banquet hall of the palace, when the guests were drinking from the golden cups, and the revelry was at its highest,|In the great banquet hall of the palace, when the guests were drinking from the golden cups, and the revelry was at its highest,
LJ028-0199|there suddenly appeared upon the wall an armless hand.|there suddenly appeared upon the wall an armless hand.
LJ028-0200|High up, where all might see it, the armless hand wrote the King's fate.|High up, where all might see it, the armless hand wrote the King's fate.
LJ028-0201|"Thou art weighed in the balances and art found wanting."|"Thou art weighed in the balances and art found wanting."
LJ028-0202|"In that night," so the story ends, "Belshazzar, the Chaldean King, was slain."|"In that night," so the story ends, "Belshazzar, the Chaldean King, was slain."
LJ028-0203|Less picturesque than this Hebrew legend is the royal record of Babylon, which fortunately was inscribed upon a clay cylinder from the ruins of the city.|Less picturesque than this Hebrew legend is the royal record of Babylon, which fortunately was inscribed upon a clay cylinder from the ruins of the city.
LJ028-0204|It refers to the death of the King's son, possibly to Belshazzar of the Bible story.|It refers to the death of the King's son, possibly to Belshazzar of the Bible story.
LJ028-0205|In the month Tammuz, when Cyrus fought the troops of Akkad (Babylonia) at Opis on the river Salsallat,|In the month Tammuz, when Cyrus fought the troops of Akkad (Babylonia) at Opis on the river Salsallat,
LJ028-0206|he subdued the people, and wherever they collected, he slew them.|he subdued the people, and wherever they collected, he slew them.
LJ028-0207|On the fourteenth day Sippar was taken without a battle.|On the fourteenth day Sippar was taken without a battle.
LJ028-0208|Nabonidus fled.|Nabonidus fled.
LJ028-0209|On the sixteenth day the troops of Cyrus entered Babylon without a battle.|On the sixteenth day the troops of Cyrus entered Babylon without a battle.
