LJ031-0001|Report of the President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy.
LJ034-0014|These two small cartons had been moved from a stack about three aisles away.|These two small cartons had been moved from a stack about three aisles away.
LJ034-0015|The boxes in the window appeared to have been arranged as a convenient gun rest.|The boxes in the window appeared to have been arranged as a convenient gun rest.
LJ034-0016|Behind these boxes was another carton placed on the floor on which a man sitting|Behind these boxes was another carton placed on the floor on which a man sitting
LJ034-0017|could look southwesterly down Elm Street over the top of the "Rolling Readers" cartons.|could look southwesterly down Elm Street over the top of the "Rolling Readers" cartons.
LJ034-0018|Next to these cartons was the handmade paper bag, previously discussed,|Next to these cartons was the handmade paper bag, previously discussed,
LJ034-0019|on which appeared the print of the left index finger and right palm of Lee Harvey Oswald.|on which appeared the print of the left index finger and right palm of Lee Harvey Oswald.
LJ034-0020|The cartons were forwarded to the FBI in Washington.|The cartons were forwarded to the FBI in Washington.
LJ034-0021|Sebastian F. Latona, supervisor of the Latent Fingerprint Section,|Sebastian F. Latona, supervisor of the Latent Fingerprint Section,
LJ034-0022|testified that 20 identifiable fingerprints and 8 palmprints were developed on these cartons.|testified that twenty identifiable fingerprints and eight palmprints were developed on these cartons.
LJ034-0023|The carton on the windowsill and the large carton below the window contained no prints which could be identified as being those of Lee Harvey Oswald.|The carton on the windowsill and the large carton below the window contained no prints which could be identified as being those of Lee Harvey Oswald.
LJ034-0024|The other "Rolling Readers" carton, however, contained a palmprint and a fingerprint which were identified by Latona|The other "Rolling Readers" carton, however, contained a palmprint and a fingerprint which were identified by Latona
LJ034-0025|as being the left palmprint and right index fingerprint of Lee Harvey Oswald.|as being the left palmprint and right index fingerprint of Lee Harvey Oswald.
LJ034-0026|The Commission has considered the possibility that the cartons might have been moved in connection with the work that was being performed on the sixth floor on November 22.|The Commission has considered the possibility that the cartons might have been moved in connection with the work that was being performed on the sixth floor on November twenty-two.
LJ034-0027|Depository employees were laying a new floor at the west end and transferring books from the west to the east end of the building.|Depository employees were laying a new floor at the west end and transferring books from the west to the east end of the building.
LJ034-0028|The "Rolling Readers" cartons, however, had not been moved by the floor layers and had apparently been taken to the window from their regular position for some particular purpose.|The "Rolling Readers" cartons, however, had not been moved by the floor layers and had apparently been taken to the window from their regular position for some particular purpose.
LJ034-0029|The "Rolling Readers" boxes contained, instead of books, light blocks used as reading aids.|The "Rolling Readers" boxes contained, instead of books, light blocks used as reading aids.
LJ034-0030|They could be easily adjusted and were still solid enough to serve as a gun rest.|They could be easily adjusted and were still solid enough to serve as a gun rest.
LJ034-0031|The box on the floor, behind the three near the window,|The box on the floor, behind the three near the window,
LJ034-0032|had been one of these moved by the floor layers from the west wall to near the east side of the building in preparation for the laying of the floor.|had been one of these moved by the floor layers from the west wall to near the east side of the building in preparation for the laying of the floor.
LJ034-0033|During the afternoon of November 22,|During the afternoon of November twenty-two,
LJ034-0034|Lieutenant Day of the Dallas police dusted this carton with powder and developed a palmprint on the top edge of the carton on the side nearest the window.|Lieutenant Day of the Dallas police dusted this carton with powder and developed a palmprint on the top edge of the carton on the side nearest the window.
LJ034-0035|The position of this palmprint on the carton was parallel with the long axis of the box, and at right angles with the short axis;|The position of this palmprint on the carton was parallel with the long axis of the box, and at right angles with the short axis;
LJ034-0036|the bottom of the palm rested on the box.|the bottom of the palm rested on the box.
LJ034-0037|Someone sitting on the box facing the window would have his palm in this position if he placed his hand alongside his right hip.|Someone sitting on the box facing the window would have his palm in this position if he placed his hand alongside his right hip.
LJ034-0038|This print which had been cut out of the box was also forwarded to the FBI and Latona identified it as Oswald's right palmprint.|This print which had been cut out of the box was also forwarded to the FBI and Latona identified it as Oswald's right palmprint.
